symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
AME,2015,True,True,True,True,True,True,True
AME,2016,True,True,True,True,True,True,True
AME,2017,True,True,True,True,True,True,True
AME,2018,True,True,True,True,True,True,True
AME,2019,True,True,True,True,True,True,True
AME,2020,True,True,True,True,True,True,True
AME,2021,True,True,True,True,True,True,True
AME,2022,True,True,True,True,True,True,True
AME,2023,True,True,True,True,True,True,True
AME,2024,True,True,True,True,True,True,True
AME,2025,True,True,True,True,True,True,True
AMP,2012,True,True,True,True,True,True,True
AMP,2013,True,True,True,True,True,True,True
AMP,2014,True,True,True,True,True,True,True
AMP,2015,True,True,True,True,True,True,True
AMP,2016,True,True,True,True,True,True,True
AMP,2017,True,True,True,True,True,True,True
AMP,2018,True,True,True,True,True,True,True
AMP,2019,True,True,True,True,True,True,True
AMP,2020,True,True,True,True,True,True,True
AMP,2021,True,True,True,True,True,True,True
AMP,2022,True,True,True,True,True,True,True
AMP,2023,True,True,True,True,True,True,True
AMP,2024,True,True,True,True,True,True,True
AMP,2025,True,True,True,True,True,True,True
AMS,2012,True,True,True,True,True,True,True
AMS,2013,True,True,True,True,True,True,True
AMS,2014,True,True,True,True,True,True,True
AMS,2016,True,True,True,True,True,True,True
AMS,2017,True,True,True,True,True,True,True
AMS,2018,True,True,True,True,True,True,True
AMS,2019,True,True,True,True,True,True,True
AMS,2020,True,True,True,True,True,True,True
AMS,2021,True,True,True,True,True,True,True
AMS,2022,True,True,True,True,True,True,True
AMS,2023,True,True,True,True,True,True,True
AMS,2024,True,True,True,True,True,True,True
AMS,2025,True,True,True,True,True,True,True
AMV,2010,True,True,True,True,True,True,True
AMV,2011,True,True,True,True,True,True,True
AMV,2012,True,True,True,True,True,True,True
AMV,2013,True,True,True,True,True,True,True
AMV,2014,True,True,True,True,True,True,True
AMV,2015,True,True,True,True,True,True,True
AMV,2016,True,True,True,True,True,True,True
AMV,2017,True,True,True,True,True,True,True
AMV,2018,True,True,True,True,True,True,True
AMV,2019,True,True,True,True,True,True,True
AMV,2020,True,True,True,True,True,True,True
AMV,2021,True,True,True,True,True,True,True
AMV,2022,True,True,True,True,True,True,True
AMV,2023,True,True,True,True,True,True,True
AMV,2024,True,True,True,True,True,True,True
AMV,2025,True,True,True,True,True,True,True
ANI,2009,True,True,True,True,True,True,True
ANI,2010,True,True,True,True,True,True,True
ANI,2011,True,True,True,True,True,True,True
ANI,2012,True,True,True,True,True,True,True
ANI,2013,True,True,True,True,True,True,True
ANI,2014,True,True,True,True,True,True,True
ANI,2015,True,True,True,True,True,True,True
ANI,2016,True,True,True,True,True,True,True
ANI,2017,True,True,True,True,True,True,True
ANI,2018,True,True,True,True,True,True,True
ANI,2019,True,True,True,True,True,True,True
ANI,2020,True,True,True,True,True,True,True
ANI,2021,True,True,True,True,True,True,True
ANI,2022,True,True,True,True,True,True,True
ANI,2023,True,True,True,True,True,True,True
ANI,2024,True,True,True,True,True,True,True
ANI,2025,True,True,True,True,True,True,True
ANT,2011,True,True,True,True,True,True,True
ANT,2012,True,True,True,True,True,True,True
ANT,2013,True,True,True,True,True,True,True
ANT,2014,True,True,True,True,True,True,True
ANT,2015,True,True,True,True,True,True,True
ANT,2016,True,True,True,True,True,True,True
ANT,2017,True,True,True,True,True,True,True
ANT,2018,True,True,True,True,True,True,True
ANT,2019,True,True,True,True,True,True,True
ANT,2020,True,True,True,True,True,True,True
ANT,2021,True,True,True,True,True,True,True
ANT,2022,True,True,True,True,True,True,True
