formation_year,index,ticker,roa_pos,cfo_pos,delta_roa_pos,accruals_ok,delta_leverage_down,delta_liquidity_up,no_issuance,delta_margin_up,delta_turnover_up,fscore
2019,44,6902.T,1,1,1,1,0,0,1,0,1,6
2019,45,6954.T,1,1,1,0,0,0,1,1,1,6
2019,46,6971.T,1,1,0,1,1,0,1,0,1,6
2019,47,6981.T,1,1,0,1,0,0,0,0,1,4
2019,48,6988.T,1,1,1,1,1,1,1,1,1,9
2019,49,7011.T,0,1,0,1,0,0,0,0,1,3
2019,50,7201.T,1,1,1,1,0,1,1,0,0,6
2019,51,7202.T,1,1,1,1,1,0,0,1,1,7
2019,52,7203.T,1,1,1,1,1,0,1,1,1,8
2019,53,7261.T,1,1,1,1,0,1,0,0,1,6
2019,54,7267.T,1,1,1,0,1,1,1,0,1,7
2019,55,7269.T,1,1,1,1,1,0,0,1,1,7
2019,56,7270.T,1,1,0,1,1,0,0,0,0,4
2019,57,7741.T,1,1,1,1,1,1,1,1,1,9
2019,58,7751.T,1,1,1,1,1,0,1,0,0,6
2019,59,7974.T,1,1,1,1,0,0,1,0,1,6
2019,60,8001.T,1,1,1,0,1,0,1,0,1,6
2019,61,8002.T,1,1,1,1,1,0,0,1,1,7
2019,62,8031.T,1,1,1,1,1,0,1,0,1,7
2019,63,8035.T,1,1,1,0,1,0,0,1,1,6
2019,64,8053.T,1,1,1,0,1,1,0,0,1,6
2019,65,8058.T,1,1,1,1,0,0,0,1,1,6
2019,66,8113.T,1,1,1,1,1,0,0,0,1,6
2019,67,8267.T,1,1,1,1,1,1,0,1,0,7
2019,68,8801.T,1,1,1,0,0,0,0,1,0,4
2019,69,8802.T,1,1,1,1,1,0,0,1,1,7
2019,70,8830.T,1,1,1,1,1,0,1,1,0,7
2019,71,9020.T,1,1,1,1,1,0,1,1,1,8
2019,72,9021.T,1,1,1,1,1,1,0,1,0,7
2019,73,9022.T,1,1,0,1,0,1,1,1,0,6
2019,74,9064.T,1,1,0,1,1,0,1,1,1,7
2019,75,9201.T,1,1,0,1,0,0,1,1,0,5
2019,76,9202.T,1,1,1,1,0,0,1,0,1,6
2019,77,9432.T,1,1,1,1,1,0,1,0,1,7
2019,78,9433.T,1,1,0,1,1,0,1,1,0,6
2019,79,9437.T,1,1,1,1,1,0,1,1,1,8
2019,80,9502.T,1,1,0,1,1,0,1,0,1,6
2019,81,9503.T,1,1,1,1,0,0,1,1,1,7
2019,82,9735.T,1,1,0,1,1,1,1,0,0,6
2019,83,9843.T,1,1,0,1,0,0,0,1,0,4
2019,84,9983.T,1,1,1,1,0,0,0,1,1,6
2019,85,9984.T,1,1,0,1,1,0,0,1,0,5
2019,86,4519.T,1,1,1,1,1,0,0,1,1,7
2019,87,7733.T,1,1,1,1,1,0,1,1,1,8
2019,88,7832.T,1,1,1,1,0,0,0,0,1,5
2019,89,9434.T,1,1,0,1,1,0,0,0,1,5
2020,0,1605.T,1,1,1,1,0,0,1,1,1,7
2020,1,1878.T,1,1,0,0,1,0,1,0,0,4
2020,2,1925.T,1,1,0,1,1,0,1,0,0,5
2020,3,1928.T,1,1,0,0,1,0,1,0,0,4
2020,4,2502.T,1,1,1,1,1,0,1,0,1,7
2020,5,2503.T,1,1,0,1,0,0,1,1,1,6
2020,6,2802.T,1,1,0,1,1,0,1,1,0,6
2020,7,2914.T,1,1,0,1,1,1,1,0,0,6
2020,8,3382.T,1,1,1,1,0,0,0,0,1,5
2020,9,3402.T,1,1,0,1,0,1,0,0,1,5
2020,10,3407.T,1,1,0,1,0,0,1,0,1,5
2020,11,4063.T,1,1,1,1,1,0,1,1,1,8
2020,12,4188.T,1,1,0,1,1,0,1,0,0,5
2020,13,4452.T,1,1,0,1,0,1,1,1,0,6
2020,14,4502.T,1,1,0,1,0,0,0,0,1,4
2020,15,4503.T,1,1,1,1,1,0,1,1,0,7
2020,16,4507.T,1,1,1,1,1,0,1,1,1,8
2020,17,4519.T,1,1,1,1,0,0,0,1,1,6
2020,18,4523.T,1,1,1,1,1,0,0,1,1,7
2020,19,4528.T,1,1,1,1,0,0,1,0,1,6
2020,20,4543.T,1,1,0,1,1,1,0,1,0,6
2020,21,4568.T,1,1,1,0,1,1,0,0,0,5
2020,22,4578.T,1,1,1,1,0,1,0,1,1,7
