,ID,CatID,Exchange,IndustryName1,IndustryName2,IndustryName3,Code,Name,TotalShares,URL,FirstTradeDate
1376,1070,2,HNX,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,VC3,CTCP Tập đoàn Nam Mê Kông,138414258,https://finance.vietstock.vn/VC3-ctcp-tap-doan-nam-me-kong.htm,2007-12-12 17:00:00
1377,1074,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VC6,CTCP Xây dựng và Đầu tư Visicons,10840877,https://finance.vietstock.vn/VC6-ctcp-xay-dung-va-dau-tu-visicons.htm,2008-01-27 17:00:00
1378,1078,2,HNX,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,VC7,CTCP Tập đoàn BGI,96090870,https://finance.vietstock.vn/VC7-ctcp-tap-doan-bgi.htm,2007-12-27 17:00:00
1379,1833,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VC9,CTCP Xây dựng số 9 - VC9,17000000,https://finance.vietstock.vn/VC9-ctcp-xay-dung-so-9-vc9.htm,2009-11-04 17:00:00
1380,1727,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,VCA,CTCP Thép VICASA,15187322,https://finance.vietstock.vn/VCA-ctcp-thep-vicasa.htm,2021-03-09 17:00:00
1381,1167,1,HOSE,Tài chính,Tổ chức tín dụng,Ngân hàng,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,8355675094,https://finance.vietstock.vn/VCB-ngan-hang-tmcp-ngoai-thuong-viet-nam.htm,2009-06-29 17:00:00
1382,1515,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VCC,CTCP Vinaconex 25,24000000,https://finance.vietstock.vn/VCC-ctcp-vinaconex-25.htm,2009-02-01 17:00:00
1383,4133,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VCE,CTCP Xây lắp Môi trường,5000000,https://finance.vietstock.vn/VCE-ctcp-xay-lap-moi-truong.htm,2016-12-28 17:00:00
1384,1266,1,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,VCF,CTCP Vinacafé Biên Hòa,26579135,https://finance.vietstock.vn/VCF-ctcp-vinacafe-bien-hoa.htm,2011-01-27 17:00:00
1385,1290,1,HOSE,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,646468336,https://finance.vietstock.vn/VCG-tong-cong-ty-co-phan-xuat-nhap-khau-va-xay-dung-viet-nam.htm,2020-12-28 17:00:00
1386,1182,1,HOSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,VCI,CTCP Chứng khoán Vietcap,1147631925,https://finance.vietstock.vn/VCI-ctcp-chung-khoan-vietcap.htm,2017-07-06 17:00:00
1387,1407,1,HOSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,VCK,CTCP Chứng khoán VPS,2434919704,https://finance.vietstock.vn/VCK-ctcp-chung-khoan-vps.htm,2025-12-15 17:00:00
1388,2553,2,HNX,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,VCM,CTCP BV Life,12000000,https://finance.vietstock.vn/VCM-ctcp-bv-life.htm,2010-05-10 17:00:00
1389,2882,5,UPCoM,Tiện ích,Tiện ích,Điện,VCP,CTCP Xây Dựng Và Năng Lượng VCP,83789658,https://finance.vietstock.vn/VCP-ctcp-xay-dung-va-nang-luong-vcp.htm,2016-12-15 17:00:00
1390,2549,5,UPCoM,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,VCR,CTCP Đầu tư và Phát triển Du lịch ITC,210000000,https://finance.vietstock.vn/VCR-ctcp-dau-tu-va-phat-trien-du-lich-itc.htm,2010-05-09 17:00:00
1391,1105,2,HNX,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,VCS,CTCP Vicostone,160000000,https://finance.vietstock.vn/VCS-ctcp-vicostone.htm,2007-12-16 17:00:00
1392,2646,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,VCT,CTCP Tư vấn Xây dựng Vinaconex,1100000,https://finance.vietstock.vn/VCT-ctcp-tu-van-xay-dung-vinaconex.htm,2010-07-14 17:00:00
1393,2992,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,VCX,CTCP Xi măng Yên Bình,26530000,https://finance.vietstock.vn/VCX-ctcp-xi-mang-yen-binh.htm,2014-03-31 17:00:00
1394,4718,5,UPCoM,Năng lượng,Năng lượng,Dầu khí,VDB,CTCP Vận tải và Chế biến Than Đông Bắc,8678238,https://finance.vietstock.vn/VDB-ctcp-van-tai-va-che-bien-than-dong-bac.htm,2018-11-21 17:00:00
1395,5698,5,UPCoM,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,VDG,CTCP Vạn Đạt Group,5774992,https://finance.vietstock.vn/VDG-ctcp-van-dat-group.htm,2024-09-25 17:00:00
1396,1106,2,HNX,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,VDL,CTCP Thực phẩm Lâm Đồng,14657150,https://finance.vietstock.vn/VDL-ctcp-thuc-pham-lam-dong.htm,2007-11-26 17:00:00
1397,2264,5,UPCoM,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,VDN,CTCP Vinatex Đà Nẵng,3298910,https://finance.vietstock.vn/VDN-ctcp-vinatex-da-nang.htm,2010-07-14 17:00:00
1398,1498,1,HOSE,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,VDP,CTCP Dược phẩm Trung ương VIDIPHA,22083392,https://finance.vietstock.vn/VDP-ctcp-duoc-pham-trung-uong-vidipha.htm,2017-08-14 17:00:00
1399,856,1,HOSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,VDS,CTCP Chứng khoán Rồng Việt,272000000,https://finance.vietstock.vn/VDS-ctcp-chung-khoan-rong-viet.htm,2017-07-18 17:00:00
1400,2354,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,VDT,CTCP Lưới thép Bình Tây,1965440,https://finance.vietstock.vn/VDT-ctcp-luoi-thep-binh-tay.htm,2011-02-28 17:00:00
1401,1236,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VE1,CTCP Xây dựng Điện VNECO 1,6000000,https://finance.vietstock.vn/VE1-ctcp-xay-dung-dien-vneco-1.htm,2008-09-03 17:00:00
1402,2178,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VE3,CTCP Xây dựng Điện VNECO 3,3400000,https://finance.vietstock.vn/VE3-ctcp-xay-dung-dien-vneco-3.htm,2010-06-29 17:00:00
1403,3231,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VE4,CTCP Xây dựng Điện VNECO4,3028000,https://finance.vietstock.vn/VE4-ctcp-xay-dung-dien-vneco4.htm,2012-10-15 17:00:00
1404,2009,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VE8,CTCP Xây dựng Điện VNECO 8,1800000,https://finance.vietstock.vn/VE8-ctcp-xay-dung-dien-vneco-8.htm,2012-08-26 17:00:00
1405,1107,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VE9,CTCP Đầu tư và Xây dựng VNECO 9,12523613,https://finance.vietstock.vn/VE9-ctcp-dau-tu-va-xay-dung-vneco-9.htm,2020-11-16 17:00:00
1406,4361,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP,1328800000,https://finance.vietstock.vn/VEA-tong-cong-ty-may-dong-luc-va-may-nong-nghiep-viet-nam-–-ctcp.htm,2018-07-01 17:00:00
1407,1782,5,UPCoM,Công nghệ thông tin,Phần cứng và thiết bị,Điện tử,VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,43800000,https://finance.vietstock.vn/VEC-tong-cong-ty-co-phan-dien-tu-va-tin-hoc-viet-nam.htm,2017-07-13 17:00:00
1408,4001,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,166604050,https://finance.vietstock.vn/VEF-ctcp-trung-tam-hoi-cho-trien-lam-viet-nam.htm,2015-12-21 17:00:00
1409,2543,5,UPCoM,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,VES,CTCP Tập đoàn VinaLiving,49426166,https://finance.vietstock.vn/VES-ctcp-tap-doan-vinaliving.htm,2015-03-17 17:00:00
1410,4614,5,UPCoM,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,VET,CTCP Thuốc thú y Trung ương Navetco,16000000,https://finance.vietstock.vn/VET-ctcp-thuoc-thu-y-trung-uong-navetco.htm,2017-12-12 17:00:00
1411,765,5,UPCoM,Công nghiệp,Vận tải,Vận tải biển,VFC,CTCP Vinafco,34000000,https://finance.vietstock.vn/VFC-ctcp-vinafco.htm,2006-07-23 17:00:00
1412,1875,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,VFG,CTCP Khử trùng Việt Nam,41714614,https://finance.vietstock.vn/VFG-ctcp-khu-trung-viet-nam.htm,2009-12-16 17:00:00
1413,988,5,UPCoM,Công nghiệp,Vận tải,Hạ tầng giao thông,VFR,CTCP Vận tải và Thuê tàu,15000000,https://finance.vietstock.vn/VFR-ctcp-van-tai-va-thue-tau.htm,2017-06-08 17:00:00
1414,1481,2,HNX,Tài chính,Dịch vụ tài chính,Thị trường vốn,VFS,CTCP Chứng khoán Nhất Việt,153963435,https://finance.vietstock.vn/VFS-ctcp-chung-khoan-nhat-viet.htm,2023-07-23 17:00:00
1415,3619,1,HOSE,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,VGC,Tổng Công ty Viglacera - CTCP,448350000,https://finance.vietstock.vn/VGC-tong-cong-ty-viglacera-ctcp.htm,2019-05-28 17:00:00
