score_year,fiscal_year,ticker,fscore,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_eq_offer,f_dmargin,f_dturn,sector
2015,2015,1878.T,5,1,1,0,1,1,0,1,0,0,
2015,2015,1925.T,7,1,1,1,1,0,1,1,1,0,Construction
2015,2015,1928.T,4,1,1,0,1,1,0,0,0,0,Construction
2015,2015,2502.T,6,1,1,1,1,0,1,1,0,0,Foods
2015,2015,2503.T,5,0,1,0,1,0,1,1,1,0,Foods
2015,2015,2802.T,8,1,1,1,1,1,0,1,1,1,Foods
2015,2015,2914.T,4,1,1,0,0,0,1,1,0,0,Foods
2015,2015,3382.T,6,1,1,0,1,1,1,0,1,0,Retail
2015,2015,3402.T,7,1,1,0,1,1,1,1,1,0,Textiles & apparel
2015,2015,3407.T,7,1,1,0,1,1,1,1,1,0,Chemicals
2015,2015,4063.T,5,1,1,0,1,1,0,0,1,0,Chemicals
2015,2015,4188.T,7,1,1,1,1,1,0,1,1,0,Chemicals
2015,2015,4452.T,6,1,1,1,1,0,1,0,1,0,Chemicals
2015,2015,4502.T,3,0,1,0,1,0,0,1,0,0,Pharmaceuticals
2015,2015,4503.T,7,1,1,1,1,1,0,1,1,0,Pharmaceuticals
2015,2015,4507.T,6,1,1,1,1,0,1,1,0,0,Pharmaceuticals
2015,2015,4523.T,4,1,1,1,1,0,0,0,0,0,Pharmaceuticals
2015,2015,4528.T,5,1,1,0,1,1,0,1,0,0,
2015,2015,4568.T,6,1,1,1,0,1,1,0,1,0,Pharmaceuticals
2015,2015,4578.T,3,1,1,0,1,0,0,0,0,0,Pharmaceuticals
2015,2015,4661.T,7,1,1,1,1,1,1,0,1,0,Services
2015,2015,4755.T,5,1,1,0,1,0,1,0,0,1,Services
2015,2015,4901.T,7,1,1,1,1,1,1,0,1,0,Chemicals
2015,2015,4911.T,4,1,1,1,0,1,0,0,0,0,Chemicals
2015,2015,5020.T,3,0,1,0,1,0,0,1,0,0,Petroleum
2015,2015,5108.T,6,1,1,0,1,1,1,0,1,0,Rubber
2015,2015,5401.T,7,1,1,0,1,1,1,0,1,1,Steel
2015,2015,5411.T,9,1,1,1,1,1,1,1,1,1,Steel
2015,2015,5713.T,6,1,1,0,1,1,0,1,1,0,Nonferrous metals
2015,2015,5802.T,8,1,1,1,1,1,1,1,1,0,Nonferrous metals
2015,2015,6273.T,9,1,1,1,1,1,1,1,1,1,Machinery
2015,2015,6301.T,7,1,1,0,1,1,1,1,1,0,Machinery
2015,2015,6326.T,5,1,1,0,0,0,1,1,1,0,Machinery
2015,2015,6367.T,7,1,1,1,1,1,1,0,1,0,Machinery
2015,2015,6501.T,6,1,1,0,1,0,1,1,1,0,Electric machinery
2015,2015,6502.T,4,0,1,0,1,1,0,1,0,0,
2015,2015,6503.T,9,1,1,1,1,1,1,1,1,1,Electric machinery
2015,2015,6594.T,7,1,1,1,1,1,0,0,1,1,Electric machinery
